author,title,Dimensions,ISBN-10,ISBN-13,Language,Print length,Publication date,Publisher,Lexile measure,Reading age,Grade level
The Washington Post,"The Mueller Report
",6 x 2 x 9 inches,1982129735,978-1982129736,English,736 pages,"April 30, 2019",,,,
Monica Sweeney,"Zen as F*ck (Zen as F*ck Journals)
",5.63 x 0.31 x 7.58 inches,1250147700,978-1250147707,English,128 pages,"March 6, 2018",Castle Point,,,
Stephen King,"The Institute: A Novel
",6.13 x 1.6 x 9.25 inches,1982110562,978-1982110567,English,576 pages,"September 10, 2019",Scribner,HL770L,,
Margaret Atwood,"The Testaments: The Sequel to The Handmaid's Tale
",6.4 x 1.49 x 9.52 inches,0385543786,978-0385543781,English,432 pages,"September 10, 2019",Nan A. Talese,HL790L,,
Scholastic,"Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters
",6 x 1.1 x 8.9 inches,1338230891,978-1338230895,English,496 pages,"July 31, 2018",Scholastic Inc.,IG1010L,7 - 10 years,2 - 5
,"Carson Dellosa First Words Flash Cards—Double-Sided, Common Words With Illustrations, Basic Animals, Food, Objects, Phonics and Reading Readiness Practice Set (54 pc)
",3.4 x 0.9 x 5.4 inches,0769647197,978-0769647197,English,54 pages,"March 15, 2006",Brighter Child,,4 - 7 years,
James Clear,"Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones
",6.3 x 1.1 x 9.4 inches,0735211299,978-0735211292,English,320 pages,"October 16, 2018",Avery,,,
Delia Owens,"Where the Crawdads Sing
",6.13 x 1.03 x 9.24 inches,1984827618,978-1984827616,English,496 pages,"August 14, 2018",,880L,,
Malcolm Gladwell,"Talking to Strangers: What We Should Know about the People We Don't Know
",,0316478520,978-0316478526,English,400 pages,"September 1, 2019","Little, Brown & Co.",,,
Richard Powers,"The Overstory: A Novel
",5.5 x 1.2 x 8.3 inches,039335668X,978-0393356687,English,512 pages,"April 2, 2019",W. W. Norton & Company,,,
Gail Honeyman,"Eleanor Oliphant Is Completely Fine: A Novel
",5.28 x 0.74 x 8.01 inches,0735220697,978-0735220690,English,352 pages,"June 5, 2018",Penguin Books,,,
Elton John,"Me: Elton John Official Autobiography
",6.5 x 1.25 x 9.5 inches,1250147603,978-1250147608,English,384 pages,"October 15, 2019",Henry Holt and Co.,,,
Ian Morgan Cron,"The Road Back to You: An Enneagram Journey to Self-Discovery
",5.5 x 0.88 x 8.25 inches,0830846190,978-0830846191,English,240 pages,"October 4, 2016",IVP Books,,,
Heather Morris,"The Tattooist of Auschwitz: A Novel
",5.31 x 0.65 x 8 inches,0062797158,978-0062797155,English,288 pages,"September 4, 2018",Harper Paperbacks,HL760L,,
Day Drankin' Press,"People of Walmart.com Adult Coloring Book: Rolling Back Dignity
",8.5 x 0.19 x 11 inches,1945056088,978-1945056086,English,80 pages,"September 30, 2016",,,,
,"The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat
",7.25 x 1.5 x 9.25 inches,1492670022,978-1492670025,English,208 pages,"October 16, 2018",Sourcebooks Explore,IG960L,8 - 12 years,4 - 8
Rachel Maddow,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth
",6.3 x 1.29 x 9.5 inches,0525575472,978-0525575474,English,432 pages,"October 1, 2019",Crown,,,
Dr. Jason Fung,"The Obesity Code: Unlocking the Secrets of Weight Loss (Why Intermittent Fasting Is the Key to Controlling Your Weight) (Book 1)
",,1771641258,978-1771641258,English,296 pages,"March 1, 2016",Greystone Books,,,
Mary Pope Osborne,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon
",5.25 x 0.94 x 7.75 inches,9780375813658,978-0375813658,English,80 pages,"May 29, 2001",Random House Books for Young Readers,240L,8 - 9 years,1 - 4
Lisa Jewell,"Then She Was Gone: A Novel
",5.31 x 0.7 x 8.25 inches,1501154656,978-1501154652,English,384 pages,"November 6, 2018",Atria Books,HL760L,,
David McCullough,"The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West
",9.25 x 6.25 x 9.25 inches,1501168681,978-1501168680,English,352 pages,"May 7, 2019",Simon & Schuster,,,
,"Wacky Waving Inflatable Tube Guy (RP Minis)
",2.9 x 1.95 x 3.8 inches,0762462876,978-0762462872,English,32 pages,"October 2, 2018",RP Minis,,,
Tish Rabe,"There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library)
",6.81 x 0.4 x 9.31 inches,9780679891154,978-0679891154,English,48 pages,"October 26, 1999",Random House Books for Young Readers,520L,4 - 8 years,Preschool - 3
Activity Slayer,"Unicorn Activity Book for Kids Ages 4-8: A Fun Kid Workbook Game For Learning, Coloring, Dot To Dot, Mazes, Word Search and More!
",8.5 x 0.25 x 11 inches,1729099793,978-1729099797,English,109 pages,"October 22, 2018",,,14 years and up,Preschool - 3
Crazy Corey,"The Try Not to Laugh Challenge - Would Your Rather? - EWW Edition
",5 x 0.18 x 8 inches,1951025083,978-1951025083,English,78 pages,"August 9, 2019",,,8 - 12 years,3 - 7
Barack Obama,"A Promised Land
",6.5 x 1.52 x 9.55 inches,1524763160,978-1524763169,English,768 pages,"November 17, 2020",Crown,,,
,"Too Much and Never Enough: How My Family Created the World's Most Dangerous Man
",6 x 1 x 9 inches,1982141468,978-1982141462,English,240 pages,"July 14, 2020",Simon & Schuster,,,
Crystal Radke,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!
",8.4 x 0.3 x 10.8 inches,1641526270,978-1641526272,English,84 pages,"August 27, 2019",Rockridge Press,,3 - 5 years,
Stephenie Meyer,"Midnight Sun
",6.6 x 2.45 x 9.35 inches,031670704X,978-0316707046,English,672 pages,"August 4, 2020","Little, Brown Books for Young Readers",,12 years and up,7 and up
Glennon Doyle,"Untamed
",5.94 x 1.34 x 8.44 inches,1984801252,978-1984801258,English,352 pages,"March 10, 2020",The Dial Press,,,
Robin DiAngelo,"White Fragility: Why It's So Hard for White People to Talk About Racism
",6 x 0.57 x 9 inches,0807047414,978-0807047415,English,192 pages,"June 26, 2018",Beacon Press,,,
,"The Room Where It Happened: A White House Memoir
",6 x 1.6 x 9 inches,1982148039,978-1982148034,English,592 pages,"June 23, 2020",Simon & Schuster,,,
Suzanne Collins,"The Ballad of Songbirds and Snakes (A Hunger Games Novel)
",5.9 x 1.7 x 8.3 inches,1338635174,978-1338635171,English,528 pages,"May 19, 2020",Scholastic Press,860L,12 years and up,7 - 9
Dav Pilkey,"Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9)
",5.7 x 0.9 x 8.3 inches,1338535625,978-1338535624,English,240 pages,"September 1, 2020",Graphix,GN480L,7 years and up,2 and up
Ibram X. Kendi,"How to Be an Antiracist
",5.82 x 1.12 x 8.52 inches,0525509283,978-0525509288,English,320 pages,"August 13, 2019",One World,,,
Bob Woodward,"Rage
",6 x 1.4 x 9 inches,198213173X,978-1982131739,English,480 pages,"September 15, 2020",Simon & Schuster,,,
Isabel Wilkerson,"Caste (Oprah's Book Club): The Origins of Our Discontents
",6.5 x 1.2 x 9.6 inches,0593230256,978-0593230251,English,496 pages,"August 4, 2020",Random House,,,
Matthew McConaughey,"Greenlights
",6.34 x 0.98 x 8.76 inches,0593139135,978-0593139134,English,304 pages,"October 20, 2020",Crown,,,
Jeanine Cummins,"American Dirt (Oprah's Book Club): A Novel
",6.42 x 1.32 x 9.6 inches,1250209765,978-1250209764,English,400 pages,"January 21, 2020",Flatiron Books,,,
Charlie Mackesy,"The Boy, the Mole, the Fox and the Horse
",6 x 0.62 x 8 inches,0062976583,978-0062976581,English,128 pages,"October 22, 2019",HarperOne,,,
Celeste Ng,"Little Fires Everywhere: A Novel
",5.09 x 0.64 x 7.7 inches,0735224315,978-0735224315,English,368 pages,"May 7, 2019",Penguin Books,1000L,,
Jeff Kinney,"The Deep End (Diary of a Wimpy Kid Book 15)
",5.75 x 0.88 x 8.38 inches,1419748688,978-1419748684,English,224 pages,"October 27, 2020",Harry N. Abrams,,8 - 12 years,3 - 7
Amelia Hepworth,"I Love You to the Moon and Back
",6.44 x 0.62 x 6.63 inches,1589255518,978-1589255517,English,28 pages,"March 3, 2015",Tiger Tales,AD460L,2 - 5 years,
Adam Wallace,"How to Catch a Mermaid
",8.25 x 0.35 x 8.25 inches,149266247X,978-1492662471,English,40 pages,"July 17, 2018",Sourcebooks Wonderland,500L,4 - 10 years,2 - 5
Erik Larson,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz
",6.42 x 1.53 x 9.52 inches,0385348711,978-0385348713,English,608 pages,"February 25, 2020",Crown,,,
Adam Wallace,"How to Catch a Unicorn
",8.25 x 0.35 x 8.25 inches,1492669733,978-1492669739,English,40 pages,"March 5, 2019",Sourcebooks Wonderland,570L,4 - 10 years,Preschool - 6
Joanna Gaines,"Magnolia Table, Volume 2: A Collection of Recipes for Gathering
",8 x 1.22 x 10 inches,0062820184,978-0062820181,English,352 pages,"April 7, 2020",,,,
Brit Bennett,"The Vanishing Half: A Novel
",6.24 x 1.21 x 9.25 inches,0525536299,978-0525536291,English,352 pages,"June 2, 2020",Riverhead Books,,,
Ina Garten,"Modern Comfort Food: A Barefoot Contessa Cookbook
",7.69 x 0.83 x 10.27 inches,0804187061,978-0804187060,English,256 pages,"October 6, 2020",Clarkson Potter,,,
,"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal
",8 x 0.53 x 10 inches,1941325823,978-1941325827,English,231 pages,"March 14, 2019",,,,
Workman Publishing,"Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!
",8.9 x 0.2 x 8.9 inches,0761189602,978-0761189602,English,34 pages,"September 20, 2016",Workman Publishing Company,,5 - 12 years,Kindergarten - 6
Workman Publishing,"Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers
",8.9 x 0.2 x 8.9 inches,0761193642,978-0761193647,English,34 pages,"April 30, 2019",Workman Publishing Company,,5 - 9 years,1 - 4
Carole P. Roman,"The Big Book of Silly Jokes for Kids (Big Book of Silly Jokes for Kids Series)
",5.8 x 0.6 x 8.2 inches,1641526378,978-1641526371,English,160 pages,"August 27, 2019",Rockridge Press,,6 - 12 years,1 - 2
Sean Hannity,"Live Free Or Die: America (and the World) on the Brink
",6 x 1.1 x 9 inches,1982149973,978-1982149970,English,352 pages,"August 4, 2020",Threshold Editions,,,
Sharon Jones,"Burn After Writing
",5.34 x 0.4 x 7.98 inches,0399175210,978-0399175213,English,160 pages,"August 4, 2015",Penguin Publishing Group,,,
Jennie Allen,"Get Out of Your Head: Stopping the Spiral of Toxic Thoughts
",5.74 x 0.82 x 8.52 inches,1601429649,978-1601429643,English,256 pages,"January 28, 2020",WaterBrook,,,
,"Human Body Activity Book for Kids: Hands-On Fun for Grades K-3
",7.8 x 9.8 x 0.5 inches,1641522631,978-1641522632,English,68 pages,"March 26, 2019",Rockridge Press,,4 - 8 years,1 - 2
Brandon Stanton,"Humans
",8.37 x 1.33 x 10.19 inches,1250114292,978-1250114297,English,448 pages,"October 6, 2020",St. Martin's Press,,,
Hoda Kotb,"I've Loved You Since Forever
",10.2 x 0.6 x 10.1 inches,,,English,32 pages,"March 6, 2018",HarperCollins,,4 - 8 years,Preschool - 3
Bryan Stevenson,"Just Mercy: A Story of Justice and Redemption
",5.19 x 0.74 x 8 inches,9780812984965,978-0812984965,English,368 pages,"August 18, 2015",One World,1130L,,
American Psychological Association,"Publication Manual of the American Psychological Association: 7th Edition, 2020 Copyright
",,,,,,,,,,
Deborah Schecter,"First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers
",5.9 x 1.6 x 5.7 inches,9780545231497,978-0545231497,English,,"October 1, 2010",Scholastic Teaching Resources (Teaching Strategies),,4 - 7 years,Preschool - 2
Kobe Bryant,"The Mamba Mentality: How I Play
",9.29 x 0.86 x 11.3 inches,0374201234,978-0374201234,English,208 pages,"October 23, 2018",MCD,,,
School Zone,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More
",3.5 x 0.75 x 5.5 inches,0938256939,978-0938256939,English,56 pages,"May 15, 2015",School Zone Publishing,,6 years and up,1 - 2
Michael Cohen,"Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump
",6 x 1.6 x 9 inches,1510764690,978-1510764699,English,432 pages,"September 8, 2020",Skyhorse,,,
,"My First Toddler Coloring Book: Fun with Numbers, Letters, Shapes, Colors, and Animals! (Kids coloring activity books)
",8.4 x 0.5 x 10.8 inches,1939754984,978-1939754981,English,96 pages,"February 6, 2018",Rockridge Press,,1 - 3 years,
Rick Riordan,"Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians)
",5.65 x 4.65 x 7.95 inches,1484707230,978-1484707234,English,1840 pages,"June 3, 2014",Disney-Hyperion,,8 - 12 years,3 - 7
Anna Dewdney,"Llama Llama Loves Camping
",8 x 0.07 x 8 inches,1524787183,978-1524787189,English,24 pages,"June 5, 2018",Penguin Young Readers Licenses,AD560L,4 - 6 years,Preschool - 1
Ijeoma Oluo,"So You Want to Talk About Race
",5.8 x 0.9 x 8.45 inches,1580058825,978-1580058827,English,272 pages,"September 24, 2019",,,,
Candace Owens,"Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation
",5.5 x 1.1 x 8.38 inches,1982133279,978-1982133276,English,320 pages,"September 15, 2020",Threshold Editions,,,
Crystal Chatterton,"Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids)
",8.5 x 0.9 x 8.9 inches,9781939754660,978-1939754660,English,254 pages,"February 13, 2018",Rockridge Press,,5 - 10 years,3 - 4
John Grisham,"A Time for Mercy (Jake Brigance)
",6.5 x 1.5 x 9.6 inches,0385545967,978-0385545969,English,480 pages,"October 13, 2020",Doubleday,,,
Eric Hill,"Where's Spot?
",6.13 x 0.57 x 6.25 inches,0399240462,978-0399240461,English,22 pages,"June 30, 2003",Warne,BR0L,1 - 3 years,
Viktor E. Frankl,"Man's Search for Meaning
",5.52 x 0.58 x 8.53 inches,9780807014271,978-0807014271,English,192 pages,"June 1, 2006",Beacon Press,,,
Ernest Cline,"Ready Player Two: A Novel
",6.38 x 1.34 x 9.53 inches,1524761338,978-1524761332,English,384 pages,"November 24, 2020",Ballantine Books,1010L,,
Modern Kid Press,"Preschool Math Workbook for Toddlers Ages 2-4: Beginner Math Preschool Learning Book with Number Tracing and Matching Activities for 2, 3 and 4 year olds and kindergarten prep
",8.5 x 0.19 x 11 inches,1948209888,978-1948209885,English,83 pages,"October 29, 2019",,,,
Ibram X. Kendi,"Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)
",5.95 x 1.8 x 9.15 inches,1568585985,978-1568585987,English,608 pages,"August 15, 2017",Bold Type Books,,,
,"Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals)
",5.59 x 0.36 x 7.48 inches,1250181909,978-1250181909,English,128 pages,"July 3, 2018",Castle Point Books,,,
Michael Todd,"Relationship Goals: How to Win at Dating, Marriage, and Sex
",5.72 x 0.76 x 8.53 inches,0593192575,978-0593192573,English,208 pages,"April 28, 2020",WaterBrook,,,
Steve Doocy,"The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series)
",7.38 x 0.97 x 9.12 inches,0062968394,978-0062968395,English,320 pages,"September 29, 2020",William Morrow Cookbooks,,,
Modern Kid Press,"Learn to Read: A Magical Sight Words and Phonics Activity Workbook for Beginning Readers Ages 5-7: Reading Made Easy | Preschool, Kindergarten and 1st Grade
",8.5 x 0.24 x 11 inches,1948209543,978-1948209540,English,104 pages,"April 16, 2019",,,,
Kristin Hannah,"The Four Winds: A Novel
",6.58 x 1.51 x 9.56 inches,1250178606,978-1250178602,English,464 pages,"February 2, 2021",St. Martin's Press,,,
Dav Pilkey,"Dog Man: Mothering Heights: From the Creator of Captain Underpants (Dog Man #10) (10)
",5.7 x 0.8 x 8.4 inches,1338680455,978-1338680454,English,224 pages,"March 23, 2021",Graphix,GN530L,7 years and up,2 and up
Matt Haig,"The Midnight Library: A Novel
",5.8 x 1.2 x 8.6 inches,0525559477,978-0525559474,English,304 pages,"September 29, 2020",Viking,,,
Amanda Gorman,"The Hill We Climb: An Inaugural Poem for the Country
",5.41 x 0.38 x 7.31 inches,059346527X,978-0593465271,English,32 pages,"March 30, 2021",Viking Books,,,
Sanjay Gupta M.D.,"Keep Sharp: Build a Better Brain at Any Age
",6 x 1 x 9 inches,1501166735,978-1501166730,English,336 pages,"January 5, 2021",Simon & Schuster,,,
Marilyn Sadler,"It's Not Easy Being a Bunny (Beginner Books(R))
",6.81 x 0.35 x 9.31 inches,0394861027,978-0394861029,English,48 pages,"September 12, 1983",Random House Books for Young Readers,400L,3 - 7 years,Preschool - 2
E. Lockhart,"We Were Liars
",5.56 x 0.81 x 8.31 inches,0385741278,978-0385741279,English,320 pages,"May 29, 2018",Ember,600L,12 - 17 years,7 - 9
Shannon Bream,"The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today
",5.5 x 0.89 x 8.25 inches,0063046598,978-0063046597,English,256 pages,"March 30, 2021",Broadside Books,,,
Sharon Jones,"Burn After Writing (Pink)
",5.27 x 0.4 x 7.98 inches,0593329910,978-0593329917,English,160 pages,"October 27, 2020",,,,
Robert T. Kiyosaki,"Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!
",6 x 1 x 8.75 inches,1612680178,978-1612680170,English,336 pages,"April 11, 2017",Plata Publishing,,,
Sister Souljah,"Life After Death: A Novel
",6 x 1.1 x 9 inches,1982139137,978-1982139131,English,352 pages,"March 2, 2021",Atria/Emily Bestler Books,,,
Robert Greene,"The 48 Laws of Power
",9.1 x 6.4 x 1.3 inches,0140280197,978-0140280197,English,452 pages,"September 1, 2000",Penguin Books,,18 years and up,12 and up
Amanda Gorman,"The Hill We Climb and Other Poems
",5.5 x 0.22 x 8.25 inches,0593465067,978-0593465066,English,80 pages,"September 21, 2021",Viking Books,,,
Amanda Gorman,"Change Sings: A Children's Anthem
",10 x 11 inches,0593203224,978-0593203224,English,32 pages,"September 21, 2021",Viking Books for Young Readers,,4 - 8 years,Preschool - 3
,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self
",6 x 1.05 x 9 inches,006301209X,978-0063012097,English,320 pages,"March 9, 2021",Harper Wave,,,
Cicely Tyson,"Just as I Am: A Memoir
",6 x 1.44 x 9 inches,0062931067,978-0062931061,English,432 pages,"January 26, 2021",HarperCollins Publishers,,,
Mark R. Levin,"American Marxism
",5.5 x 0.71 x 8.38 inches,150113597X,978-1501135972,English,320 pages,"July 13, 2021",Threshold Editions,,,
Adam Grant,"Think Again: The Power of Knowing What You Don't Know
",6.23 x 1.04 x 9.29 inches,1984878107,978-1984878106,English,320 pages,"February 2, 2021",Viking,,,
Adam Silvera,"They Both Die at the End
",5.31 x 0.94 x 8 inches,0062457802,978-0062457806,English,416 pages,"December 18, 2018",Quill Tree Books,870L,14 - 17 years,9 - 12
V. E. Schwab,"The Invisible Life of Addie LaRue
",6.55 x 1.45 x 9.6 inches,0765387565,978-0765387561,English,448 pages,"October 6, 2020",Tor Books,,,
Jordan B. Peterson,"Beyond Order: 12 More Rules for Life
",6.22 x 1.27 x 9.24 inches,0593084640,978-0593084649,English,432 pages,"March 2, 2021",Portfolio,,,
